nome_canal,perfil_canal,inscritos,pais,avg_views,avg_likes,avg_comments
Harry Styles,Harry Styles,13900000,United States,718500.0,122600.0,5900.0
Zig & Sharko,Zig & Sharko,13800000,,75400.0,762.0,0.0
dangmattsmith,DangMattSmith,13800000,,170500.0,5800.0,977.0
vetealaversha,Darkar Company Studios,13800000,Mexico,310300.0,43800.0,2800.0
ABCNews,ABC News,13800000,United States,11200.0,130.0,109.0
NOBRU,NOBRU,13800000,Brazil,273700.0,27400.0,124.0
TazerCraft,TazerCraft,13800000,Brazil,211100.0,15900.0,859.0
The MriDul,The MriDul,13800000,India,5600000.0,239700.0,14500.0
MAIKI021,MAIKI021,13800000,Brazil,17800.0,2400.0,70.0
telemundotv,Telemundo,13800000,Argentina,7700.0,346.0,13.0
ГЛЕНТ,ГЛЕНТ,13700000,Russia,2300000.0,164500.0,6400.0
Dear Sir,Dear Sir,13700000,India,95300.0,6300.0,733.0
Wish 107.5,Wish 107.5,13600000,Philippines,32000.0,942.0,95.0
WWWengie,Wengie,13600000,United States,35000.0,2600.0,55.0
ZEE5,ZEE5,13600000,India,416.0,4.0,0.0
SRKASSAMESE,SRK MUSIC,13600000,India,109300.0,7400.0,131.0
KompasTVNews,KOMPASTV,13600000,Indonesia,4500.0,44.0,13.0
Infobells Bangla,Infobells Bangla,13600000,,42300.0,162.0,0.0
Narins Beauty,Narins Beauty,13600000,Iraq,1900000.0,132000.0,10300.0
TV Ana Emilia,TV Ana Emilia,13600000,Mexico,187200.0,9100.0,337.0
jordanmatter,Jordan Matter,13600000,United States,4900000.0,80800.0,7800.0
OReinho,O Reino Infantil,13600000,,53200.0,221.0,0.0
Like Nastya Stories,Like Nastya Stories,13600000,,179700.0,1200.0,0.0
HusamYK,Katakit Baby TV,13600000,Saudi Arabia,80800.0,802.0,0.0
FAPtivi,FAPTV,13600000,United States,2400000.0,41800.0,719.0
PrestonPlayz,PrestonPlayz,13600000,United States,915700.0,32700.0,1800.0
Coke Studio,Coke Studio,13600000,Pakistan,46700.0,1300.0,81.0
